head_label,tail_label,score,kg_score,kg_score_norm,meta_score,rank
350010,330990,0.9625,-6.101943016052246,1.0,0.8500000000000001,1
284770,369420,0.9558823529411764,-5.891003131866455,1.0,0.8235294117647058,1
284730,284870,0.9558823529411764,-6.04650354385376,1.0,0.8235294117647058,1
284710,330990,0.9558823529411764,-5.806297302246094,1.0,0.8235294117647058,1
284750,369420,0.95,-5.832655429840088,1.0,0.8,1
319320,284890,0.95,-5.859444618225098,1.0,0.8,1
284770,330990,0.9459426540717464,-5.9127373695373535,0.9867470681740932,0.8235294117647058,2
284730,330990,0.9447835813855113,-6.083515644073486,0.9763781085140151,0.8500000000000001,2
279800,330990,0.94,-6.083945274353027,1.0,0.76,1
220740,327220,0.9390625,-6.3717522621154785,1.0,0.75625,1
268540,105000,0.9386363636363636,-6.036546230316162,1.0,0.7545454545454545,1
369420,284830,0.9303571428571429,-5.760829448699951,1.0,0.7214285714285715,1
284830,330990,0.9303571428571429,-6.109461784362793,1.0,0.7214285714285715,1
284890,284830,0.9303571428571429,-6.009790897369385,1.0,0.7214285714285715,1
330990,284830,0.9303571428571429,-5.780580997467041,1.0,0.7214285714285715,1
361970,214100,0.9275,-6.308640003204346,1.0,0.71,1
208630,393150,0.9275,-5.972267150878906,1.0,0.71,1
284870,284830,0.9267045454545455,-6.218648910522461,1.0,0.7068181818181818,1
326380,209230,0.921875,-6.384323596954346,1.0,0.6875,1
105000,327220,0.9208333333333334,-6.500701427459717,1.0,0.6833333333333333,1
42990,282210,0.9193181818181818,-6.428309917449951,1.0,0.6772727272727272,1
255300,203830,0.9168478260869566,-6.351283073425293,1.0,0.6673913043478261,1
368990,288880,0.91625,-6.366842746734619,1.0,0.665,1
42890,282210,0.91625,-6.3473429679870605,1.0,0.665,1
231140,73010,0.9125,-6.382999897003174,1.0,0.6499999999999999,1
314510,105100,0.9125,-6.273399353027344,1.0,0.6499999999999999,1
248290,361970,0.9125,-5.93960428237915,1.0,0.6499999999999999,1
339290,283660,0.9125,-6.548085689544678,1.0,0.6499999999999999,1
319320,284870,0.9118281003856781,-5.931499004364014,0.9561216777072198,0.7789473684210526,2
201570,285440,0.9078125,-6.4383392333984375,1.0,0.63125,1
353070,284730,0.90625,-6.211571216583252,1.0,0.625,1
313650,330990,0.90625,-6.033433437347412,1.0,0.625,1
334120,251430,0.90625,-6.231283187866211,1.0,0.625,1
43500,271360,0.905,-6.532796859741211,1.0,0.62,1
284200,343770,0.905,-6.561971187591553,1.0,0.62,1
253750,285440,0.905,-6.274567604064941,1.0,0.62,1
241910,251430,0.9032255128780622,-6.5619072914123535,0.9850024382233811,0.6578947368421053,1
203830,251430,0.9026315789473685,-6.506348133087158,1.0,0.6105263157894737,1
205990,42890,0.9019230769230769,-6.3948445320129395,1.0,0.6076923076923078,1
254060,245050,0.9017857142857143,-6.47642707824707,1.0,0.6071428571428571,1
257050,307130,0.9017857142857143,-6.631783962249756,1.0,0.6071428571428571,1
314320,214100,0.9017857142857143,-6.415095806121826,1.0,0.6071428571428571,1
57800,301150,0.9017857142857143,-6.3809590339660645,1.0,0.6071428571428571,1
